,Team,SNo.,SGold,SSilver,SBronze,STotal,WNo.,WGold,WSilver,WBronze,WTotal,TNo.,TGold,TSilver,TBronze,TTotal
149,United States,29,"1,105",879,781,"2,765",24,114,121,95,330,53,"1,219","1,000",876,"3,095"
150,Uruguay,23,2,2,6,10,1,0,0,0,0,24,2,2,6,10
151,Uzbekistan,8,18,8,23,49,8,1,0,0,1,16,19,8,23,50
152,Venezuela,20,3,7,9,19,4,0,0,0,0,24,3,7,9,19
153,Vietnam,17,1,3,1,5,0,0,0,0,0,17,1,3,1,5
154,Virgin Islands,14,0,1,0,1,8,0,0,0,0,22,0,1,0,1
155,Yugoslavia,16,26,29,28,83,14,0,3,1,4,30,26,32,29,87
156,Zambia,15,0,1,2,3,0,0,0,0,0,15,0,1,2,3
157,Zimbabwe,15,3,4,1,8,1,0,0,0,0,16,3,4,1,8
158,Individual Neutral Athletes,1,1,3,1,5,0,0,0,0,0,1,1,3,1,5
159,Independent Olympic Athletes,3,1,0,1,2,0,0,0,0,0,3,1,0,1,2
160,Independent Olympic Participants,1,0,1,2,3,0,0,0,0,0,1,0,1,2,3
161,Mixed team,3,11,6,8,25,0,0,0,0,0,3,11,6,8,25
162,Totals,30,"5,793","5,764","6,277","17,834",24,"1,171","1,169","1,160","3,500",54,"6,964","6,933","7,437","21,334"
163,American Samoa,10,0,0,0,0,2,0,0,0,0,12,0,0,0,0
164,Andorra,13,0,0,0,0,13,0,0,0,0,26,0,0,0,0
165,Angola,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
166,Antigua and Barbuda,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
167,Aruba,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
168,Bangladesh,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
169,Belize,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0
170,Benin,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0
171,Bhutan,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
172,Bolivia,16,0,0,0,0,7,0,0,0,0,23,0,0,0,0
173,Bosnia and Herzegovina,9,0,0,0,0,8,0,0,0,0,17,0,0,0,0
174,British Virgin Islands,11,0,0,0,0,2,0,0,0,0,13,0,0,0,0
175,Brunei,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0
176,Cambodia,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0
177,Cayman Islands,12,0,0,0,0,2,0,0,0,0,14,0,0,0,0
178,Central African Republic,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
